Appid,Title,Early Access,Steam Release Date,Price (USD),Adj. review %,Filtered Reviews,All Reviews,Peak CCU,#Followers,PlayTracker rank,Top seller rank,Adj. review %,Metacritic,Opencritic,Hidden gem,Price (USD),Boxleiter Score (80),Gross Revenue,Company Revenue
828640,The Stranger VR,Not current E.A.; former unknown,2020-09-14,9.99,64.0647,38,51,4,359,,-1,64.0647,-1,,0.567748,999,3040,"$30,369.60",21258.72
859640,Along Together,Not current E.A.; former unknown,2018-05-29,14.99,76.3713,38,40,10,545,23571,11358,76.3713,-1,,0.777421,1499,3040,"$45,569.60",31898.72
906110,Minotaur Arcade Volume 1,Not current E.A.; former unknown,2018-12-21,6.99,83.4037,38,41,6,143,,10234,83.4037,-1,,0.874958,699,3040,"$21,249.60",14874.72
916130,Meet the Miner - WDR VR Bergwerk,Not current E.A.; former unknown,2018-09-20,0,69.339,38,38,9,314,,-1,69.339,-1,,0.665743,0,3040,$0.00,0
957070,iB Cricket,Current E.A.,2020-10-25,29.99,78.1294,38,53,12,142,,2246,78.1294,-1,,0.802916,2999,3040,"$91,169.60",63818.72
1010450,Desire Den,Former E.A.,2019-03-19,9.99,51.7581,38,41,3,746,,7229,51.7581,-1,,0.200729,999,3040,"$30,369.60",21258.72
1045020,Blanket Heavy With Nightmares,Not current E.A.; former unknown,2019-04-17,0,74.6132,38,38,5,93,,-1,74.6132,-1,,0.75106,0,3040,$0.00,0
1045590,Kaisuo,Not current E.A.; former unknown,2019-05-17,0,69.339,38,38,61,422,,-1,69.339,-1,,0.665743,0,3040,$0.00,0
604830,All Alone: VR,Not current E.A.; former unknown,2017-03-08,3.99,57.0324,38,51,975,72,9779,13789,57.0324,-1,,0.401458,399,3040,"$12,129.60",8490.72
747210,Voyage Senki VR 海洋传说 VR,Former E.A.,2018-04-15,0,44.7257,38,38,21,791,16026,-1,44.7257,-1,,-1,0,3040,$0.00,0
444530,Light Repair Team #4,Not current E.A.; former unknown,2016-04-05,4.99,76.3713,38,46,4,302,22910,-1,76.3713,-1,,0.777421,499,3040,"$15,169.60",10618.72
465150,Mars Odyssey,Not current E.A.; former unknown,2016-09-08,9.99,64.0647,38,45,10,499,14381,13043,64.0647,-1,,0.567748,999,3040,"$30,369.60",21258.72
479000,IrreVRsible,Former E.A.,2017-02-17,1.99,64.0647,38,40,7,175,18981,-1,64.0647,-1,,0.567748,199,3040,"$6,049.60",4234.72
512240,Duckpocalypse,Not current E.A.; former unknown,2016-08-22,2.99,78.1294,38,42,4,168,18369,-1,78.1294,-1,,0.802916,299,3040,"$9,089.60",6362.72
562320,Locked In VR,Not current E.A.; former unknown,2016-12-01,5.99,67.5809,38,39,10,302,24761,-1,67.5809,-1,,0.634761,599,3040,"$18,209.60",12746.72
445860,Toy Plane Heroes,Former E.A.,2017-06-08,9.99,63.4892,37,50,5,309,,-1,63.4892,-1,,0.556011,999,2960,"$29,570.40",20699.28
447690,Dimensional Intersection,Not current E.A.; former unknown,2016-10-05,4.99,65.2878,37,37,3,265,21272,11674,65.2878,-1,,0.591919,499,2960,"$14,770.40",10339.28
450050,Yon Paradox,Not current E.A.; former unknown,2016-05-06,2.99,47.3022,37,54,8,918,14826,-1,47.3022,-1,-1,-1,299,2960,"$8,850.40",6195.28
477800,Piñata,Not current E.A.; former unknown,2016-09-01,0,49.1007,37,37,14,147,11354,-1,49.1007,-1,,-1,0,2960,$0.00,0
503280,Marble Land,Not current E.A.; former unknown,2017-12-06,14.99,74.2806,37,44,4,311,25580,-1,74.2806,-1,,0.745967,1499,2960,"$44,370.40",31059.28
506280,My Lil' Donut,Not current E.A.; former unknown,2016-08-31,0,72.482,37,37,6,126,11580,-1,72.482,-1,,0.717807,0,2960,$0.00,0
857180,The Cooking Game VR,Current E.A.,2018-07-13,14.99,61.6907,37,48,13,2285,23799,-1,61.6907,-1,,0.517618,1499,2960,"$44,370.40",31059.28
891960,WebbVR: The James Webb Space Telescope Virtual Experience,Not current E.A.; former unknown,2018-10-31,0,74.2806,37,37,20,523,30567,-1,74.2806,-1,,0.745967,0,2960,$0.00,0
977690,Skyworld: Kingdom Brawl,Not current E.A.; former unknown,2019-04-02,9.99,74.2806,37,48,36,999,21669,10722,74.2806,-1,,0.745967,999,2960,"$29,570.40",20699.28
1328220,CHALICE,Not current E.A.; former unknown,2020-06-07,0,65.2878,37,37,1,82,,-1,65.2878,-1,,0.591919,0,2960,$0.00,0
