Appid,Title,Early Access,Steam Release Date,Price (USD),Adj. review %,Filtered Reviews,All Reviews,Peak CCU,#Followers,PlayTracker rank,Top seller rank,Adj. review %,Metacritic,Opencritic,Hidden gem,Price (USD),Boxleiter Score (80),Gross Revenue,Company Revenue
494350,Bowl VR,Not current E.A.; former unknown,2016-06-24,6.99,40.2025,18,18,4,120,27866,-1,40.2025,-1,,-1,699,1440,"$10,065.60",7045.92
495320,Ancient VR coaster,Not current E.A.; former unknown,2016-07-04,0.99,43.4683,18,22,4,211,23142,13374,43.4683,-1,,-1,99,1440,"$1,425.60",997.92
513790,DEADLOCK,Current E.A.,2016-08-15,5.99,56.5317,18,20,4,140,19690,-1,56.5317,-1,,0.386902,599,1440,"$8,625.60",6037.92
525500,Candy Kingdom VR,Not current E.A.; former unknown,2016-09-20,5.99,63.0633,18,40,15,-1,13561,-1,63.0633,-1,,0.547163,599,1440,"$8,625.60",6037.92
528990,Basketball Babe,Not current E.A.; former unknown,2016-10-02,10.99,72.8608,18,21,4,347,27049,-1,72.8608,-1,,0.723828,1099,1440,"$15,825.60",11077.92
536960,No Way Out - A Dead Realm Tale,Not current E.A.; former unknown,2018-10-26,19.99,59.7975,18,20,4,452,,-1,59.7975,-1,,0.473857,1999,1440,"$28,785.60",20149.92
547040,Above - VR,Not current E.A.; former unknown,2016-11-01,3.99,40.2025,18,34,1347,-1,12105,-1,40.2025,-1,,-1,399,1440,"$5,745.60",4021.92
566150,Bowling at the Lake,Not current E.A.; former unknown,2016-12-08,0,50,18,18,9,95,14297,-1,50,-1,,-1,0,1440,$0.00,0
571630,Puzzle Island VR,Former E.A.,2020-05-19,1.24,59.7975,18,31,4,120,24837,6078,59.7975,-1,,0.473857,124,1440,"$1,785.60",1249.92
573550,GoalkeepVr,Not current E.A.; former unknown,2017-01-06,3.99,69.595,18,21,13,77,13867,-1,69.595,-1,,0.670135,399,1440,"$5,745.60",4021.92
397660,Behind You,Former E.A.,2017-02-21,16.99,51.7091,17,19,2,439,,-1,51.7091,-1,,0.197911,1699,1360,"$23,106.40",16174.48
427890,Felt Tip Circus,Not current E.A.; former unknown,2016-04-05,7.99,68.7998,17,26,5,314,14821,-1,68.7998,-1,,0.656398,799,1360,"$10,866.40",7606.48
450040,Stealth Labyrinth,Not current E.A.; former unknown,2016-04-29,2.99,31.2002,17,31,14,250,17041,-1,31.2002,-1,,-1,299,1360,"$4,066.40",2846.48
458370,VR Baseball,Not current E.A.; former unknown,2016-04-04,8.98,55.1272,17,29,6,154,21981,13070,55.1272,-1,,0.342792,898,1360,"$12,212.80",8548.96
468110,Rescuties! VR,Not current E.A.; former unknown,2016-10-19,0.99,79.0543,17,21,4,189,22819,14226,79.0543,-1,,0.816009,99,1360,"$1,346.40",942.48
493290,World VR Competition,Former E.A.,2016-12-06,11.99,61.9635,17,21,4,157,23997,-1,61.9635,-1,,0.523624,1199,1360,"$16,306.40",11414.48
510410,Cogs and Cowboys,Current E.A.,2016-08-10,2.99,51.7091,17,17,4,-1,,-1,51.7091,-1,,0.197911,299,1360,"$4,066.40",2846.48
522220,InMind 2 VR,Not current E.A.; former unknown,2017-02-17,4.99,61.9635,17,24,7,607,14155,-1,61.9635,-1,,0.523624,499,1360,"$6,786.40",4750.48
540410,Queendoom,Not current E.A.; former unknown,2016-11-10,9.99,79.0543,17,20,4,178,25574,-1,79.0543,-1,,0.816009,999,1360,"$13,586.40",9510.48
544130,Whack-a-Vote: Hammering the Polls,Not current E.A.; former unknown,2016-11-02,0,61.9635,17,17,3,75,13174,-1,61.9635,-1,,0.523624,0,1360,$0.00,0
548080,Space Merchants: Arena,Not current E.A.; former unknown,2016-11-04,3.49,55.1272,17,23,1192,301,12516,-1,55.1272,-1,,0.342792,349,1360,"$4,746.40",3322.48
551610,Virtual Army: Revolution,Current E.A.,2019-01-31,9.99,41.4546,17,27,9,948,,-1,41.4546,-1,,-1,999,1360,"$13,586.40",9510.48
560550,void LINK,Current E.A.,2017-12-27,9.99,72.218,17,21,5,270,,10732,72.218,-1,,0.713579,999,1360,"$13,586.40",9510.48
568030,Last Mage Standing,Not current E.A.; former unknown,2016-12-15,2.99,68.7998,17,18,3,140,25501,-1,68.7998,-1,,0.656398,299,1360,"$4,066.40",2846.48
583530,Aquila Bird Flight Simulator,Former E.A.,2020-12-27,4.99,65.3817,17,24,3,538,15503,6078,65.3817,-1,,0.593734,499,1360,"$6,786.40",4750.48
863380,Frankenstein: Beyond the Time,Not current E.A.; former unknown,2018-08-01,10.99,51.7091,17,25,4,404,,-1,51.7091,-1,,0.197911,1099,1360,"$14,946.40",10462.48
907720,Do or Die,Not current E.A.; former unknown,1970-01-01,0,31.2002,17,0,9,188,,-1,31.2002,-1,,0.312002,,1360,$0.00,0
929740,Aeronaut,Not current E.A.; former unknown,2019-09-12,0,72.218,17,17,3,51,,-1,72.218,-1,,0.713579,0,1360,$0.00,0
982710,Cop Academy,Not current E.A.; former unknown,2019-03-22,0,61.9635,17,17,7,97,,-1,61.9635,-1,,0.523624,0,1360,$0.00,0
994350,The Seduction of Shaqeera VR,Not current E.A.; former unknown,2019-01-17,9.99,65.3817,17,19,5,349,,7182,65.3817,-1,,0.593734,999,1360,"$13,586.40",9510.48
1030380,Real Fishing VR,Not current E.A.; former unknown,2019-03-05,7.79,41.4546,17,18,4,88,,10370,41.4546,-1,,-1,779,1360,"$10,594.40",7416.08
626700,Clark | HOOVA VR,Not current E.A.; former unknown,2018-01-25,0,61.9635,17,17,7,99,15989,-1,61.9635,-1,,0.523624,0,1360,$0.00,0
632840,CYBER VR,Current E.A.,2017-08-31,8.99,48.2909,17,25,8,158,14033,-1,48.2909,-1,,-1,899,1360,"$12,226.40",8558.48
680400,Light Tracer (VR & NON-VR),Not current E.A.; former unknown,2018-01-14,14.99,72.218,17,29,2,416,22567,-1,72.218,-1,,0.713579,1499,1360,"$20,386.40",14270.48
698110,Reficul VR,Former E.A.,2018-05-09,19.99,55.1272,17,29,3,767,25806,-1,55.1272,-1,,0.342792,1999,1360,"$27,186.40",19030.48
718380,Holopoint: Chronicle,Not current E.A.; former unknown,2019-01-31,7.99,48.2909,17,20,5,135,,9992,48.2909,-1,,-1,799,1360,"$10,866.40",7606.48
744460,BE THE HERO,Current E.A.,2018-08-25,19.99,48.2909,17,18,5,374,,-1,48.2909,-1,,-1,1999,1360,"$27,186.40",19030.48
745130,Rage Room,Not current E.A.; former unknown,2017-12-25,14.99,51.7091,17,19,12,210,,8706,51.7091,-1,,0.197911,1499,1360,"$20,386.40",14270.48
746660,Throw Anything,Former E.A.,2018-07-26,16.99,68.7998,17,21,39,172,27452,-1,68.7998,-1,,0.656398,1699,1360,"$23,106.40",16174.48
748600,Meme Dragons,Current E.A.,2017-12-12,6.99,65.3817,17,18,2,75,17715,-1,65.3817,-1,,0.593734,699,1360,"$9,506.40",6654.48
778110,Bladeline VR,Not current E.A.; former unknown,2018-11-12,11.99,48.2909,17,18,3,119,,-1,48.2909,-1,,-1,1199,1360,"$16,306.40",11414.48
779240,Conquer,Not current E.A.; former unknown,2018-02-21,9.99,55.1272,17,25,4,361,16208,-1,55.1272,-1,,0.342792,999,1360,"$13,586.40",9510.48
1192020,Cyber Fight Challenge,Not current E.A.; former unknown,2020-09-10,9.99,51.7091,17,17,3,123,,-1,51.7091,-1,,0.197911,999,1360,"$13,586.40",9510.48
1198290,Space Block Buster,Current E.A.,2019-12-20,9.99,79.0543,17,32,8,71,,-1,79.0543,-1,,0.816009,999,1360,"$13,586.40",9510.48
1287750,RC Flight Simulator 2020 VR,Not current E.A.; former unknown,2020-05-11,9.99,41.4546,17,20,3,160,,8914,41.4546,-1,,-1,999,1360,"$13,586.40",9510.48
1301680,VR Furry Dance,Not current E.A.; former unknown,2020-06-23,0,72.218,17,0,-1,156,,9767,72.218,-1,,0.72218,,1360,$0.00,0
1356080,Hot-air VR Balloon trip over Russian Primorye,Not current E.A.; former unknown,2020-07-07,0,51.7091,17,17,-1,51,,-1,51.7091,-1,,0.197911,0,1360,$0.00,0
1421100,Binaural Odyssey,Not current E.A.; former unknown,2020-10-15,0,68.7998,17,17,2,138,,-1,68.7998,-1,,0.656398,0,1360,$0.00,0
1176640,Frostpoint VR: Proving Grounds,Not current E.A.; former unknown,2020-11-30,24.99,39.241,16,42,11,1164,25162,13500,39.241,-1,,-1,2499,1280,"$31,987.20",22391.04
1192380,TOTALLY BASEBALL,Current E.A.,2019-12-18,12.99,71.5181,16,23,2,44,,11519,71.5181,-1,,0.70225,1299,1280,"$16,627.20",11639.04
1192420,Shuttle Commander,Not current E.A.; former unknown,2020-11-30,24.99,53.5863,16,17,6,282,,4493,53.5863,-1,,0.286692,2499,1280,"$31,987.20",22391.04
1209740,Coloniam,Current E.A.,2020-01-25,4.99,50,16,20,3,394,,-1,50,-1,,-1,499,1280,"$6,387.20",4471.04
1210380,Bingo VR,Not current E.A.; former unknown,2020-06-11,0,67.9317,16,16,3,35,,-1,67.9317,-1,,0.641064,0,1280,$0.00,0
1220630,Crazy VR Dance Party,Not current E.A.; former unknown,2020-01-31,0,64.3454,16,0,-1,190,,-1,64.3454,-1,,0.643454,,1280,$0.00,0
1273390,Baby Shark VR Dancing,Not current E.A.; former unknown,2020-04-20,9.99,57.1727,16,23,2,102,,11320,57.1727,-1,,0.405444,999,1280,"$12,787.20",8951.04
1340300,Crazy Kung Fu,Current E.A.,2020-09-25,9.99,67.9317,16,22,4,125,,12015,67.9317,-1,,0.641064,999,1280,"$12,787.20",8951.04
1399140,Boxing Coach,Current E.A.,2020-10-15,9.99,53.5863,16,18,3,119,,11076,53.5863,-1,,0.286692,999,1280,"$12,787.20",8951.04
1461800,Eggs Catcher VR,Not current E.A.; former unknown,2020-11-24,0,71.5181,16,16,4,59,,-1,71.5181,-1,,0.70225,0,1280,$0.00,0
802330,Badminton Kings VR,Current E.A.,2018-03-12,14.99,50,16,19,12,89,,10316,50,-1,,-1,1499,1280,"$19,187.20",13431.04
809840,Anime show 动漫时装秀,Not current E.A.; former unknown,2018-06-22,3.59,50,16,22,3,2218,,6647,50,-1,,-1,359,1280,"$4,595.20",3216.64
812770,Lunapark VR,Not current E.A.; former unknown,2018-03-09,1.99,50,16,16,8,79,20337,-1,50,-1,,-1,199,1280,"$2,547.20",1783.04
819400,When Wardens Fall,Former E.A.,2019-08-15,14.99,50,16,19,4,415,,-1,50,-1,,-1,1499,1280,"$19,187.20",13431.04
837240,Shopkeeper Simulator VR,Former E.A.,2018-09-19,5.99,42.8273,16,22,3,171,27326,-1,42.8273,-1,,-1,599,1280,"$7,667.20",5367.04
844380,Cave Digger VR,Not current E.A.; former unknown,2018-05-09,19.99,71.5181,16,283,199,1474,10480,3712,71.5181,-1,,0.70225,1999,1280,"$25,587.20",17911.04
858250,Tainted Fate,Former E.A.,2020-10-29,9.99,53.5863,16,24,2,241,27412,-1,53.5863,-1,,0.286692,999,1280,"$12,787.20",8951.04
876930,Fancy Skiing 2: Online,Not current E.A.; former unknown,2018-07-13,8.39,50,16,20,155,196,19670,7497,50,-1,,-1,839,1280,"$10,739.20",7517.44
893640,Dances with Butterflies VR,Not current E.A.; former unknown,2019-04-18,0,64.3454,16,16,6,88,,-1,64.3454,-1,,0.573385,0,1280,$0.00,0
894380,Exoplanet,Not current E.A.; former unknown,2018-07-25,0,64.3454,16,16,7,200,,-1,64.3454,-1,,0.573385,0,1280,$0.00,0
912920,SMUSH.TV - Competitive VR x PC Action,Current E.A.,2020-02-27,19.99,71.5181,16,23,7,263,,-1,71.5181,-1,,0.70225,1999,1280,"$25,587.20",17911.04
917830,Anima,Not current E.A.; former unknown,2019-09-26,0.99,50,16,17,-1,28,,-1,50,-1,,-1,99,1280,"$1,267.20",887.04
918900,Girls Dance VR,Not current E.A.; former unknown,2018-08-24,8.99,50,16,17,5,908,,-1,50,-1,,-1,899,1280,"$11,507.20",8055.04
1002890,Galaxity,Current E.A.,2019-01-24,0,64.3454,16,16,12,329,,-1,64.3454,-1,,0.573385,0,1280,$0.00,0
1004200,Biathlon Battle VR,Former E.A.,2020-02-13,9.99,50,16,22,2,147,,12697,50,-1,,-1,999,1280,"$12,787.20",8951.04
1069900,Private Dance VR,Not current E.A.; former unknown,2019-05-01,2.99,42.8273,16,17,11,352,,11989,42.8273,-1,,-1,299,1280,"$3,827.20",2679.04
1114460,Paranormal Detective: Escape from the 80's,Not current E.A.; former unknown,2019-12-12,9.99,71.5181,16,24,2,91,,14498,71.5181,-1,,0.70225,999,1280,"$12,787.20",8951.04
375190,VROOM: Aerie,Not current E.A.; former unknown,2015-06-24,4.99,57.1727,16,19,5,288,,11534,57.1727,-1,,0.405444,499,1280,"$6,387.20",4471.04
397600,Viral EX,Not current E.A.; former unknown,2017-07-10,9.99,78.6908,16,18,8,98,22860,-1,78.6908,-1,,0.810888,999,1280,"$12,787.20",8951.04
461320,Smackitball,Current E.A.,2017-02-27,0,50,16,16,3,69,14625,-1,50,-1,,-1,0,1280,$0.00,0
496960,Shoot Mania VR: Fun Zombies,Not current E.A.; former unknown,2017-02-17,2.99,50,16,20,10,77,22330,14465,50,-1,,-1,299,1280,"$3,827.20",2679.04
499940,Ascension VR,Not current E.A.; former unknown,2016-08-01,9.99,53.5863,16,22,7,321,25793,-1,53.5863,-1,,0.286692,999,1280,"$12,787.20",8951.04
511600,Space Jones VR,Not current E.A.; former unknown,2016-08-11,4.99,50,16,23,7,423,27083,-1,50,-1,,-1,499,1280,"$6,387.20",4471.04
522730,God Of Arrows VR,Current E.A.,2016-11-02,2.99,71.5181,16,42,4,149,13281,-1,71.5181,-1,,0.70225,299,1280,"$3,827.20",2679.04
523940,ZombVR,Former E.A.,2017-11-17,1.99,50,16,23,4,-1,16674,-1,50,-1,,-1,199,1280,"$2,547.20",1783.04
529630,The Rabbit Hole Remastered,Former E.A.,2017-05-26,3.99,50,16,18,15,247,19201,-1,50,-1,,-1,399,1280,"$5,107.20",3575.04
535190,Chunky Orbits,Former E.A.,2016-12-20,1.99,71.5181,16,20,12,99,13603,-1,71.5181,-1,,0.70225,199,1280,"$2,547.20",1783.04
535650,Dwingle : B.O.T,Not current E.A.; former unknown,2017-06-19,2.99,71.5181,16,17,3,164,25822,-1,71.5181,-1,,0.70225,299,1280,"$3,827.20",2679.04
536530,Marlene Betwixt,Not current E.A.; former unknown,2016-10-25,3.99,50,16,20,4,452,18771,-1,50,-1,,-1,399,1280,"$5,107.20",3575.04
549880,RoboSports VR,Current E.A.,2016-11-07,0,50,16,16,4,-1,13500,-1,50,-1,,-1,0,1280,$0.00,0
550520,B. Braun Future Operating Room,Not current E.A.; former unknown,2016-12-09,0,64.3454,16,16,5,208,14560,-1,64.3454,-1,,0.573385,0,1280,$0.00,0
565190,Spacecats with Lasers VR,Not current E.A.; former unknown,2016-12-19,4.99,78.6908,16,23,3,69,17793,10737,78.6908,-1,,0.810888,499,1280,"$6,387.20",4471.04
589110,Constricted VR,Former E.A.,2018-07-10,0.99,50,16,17,3,80,24302,-1,50,-1,,-1,99,1280,"$1,267.20",887.04
598740,HORIZON VANGUARD,Not current E.A.; former unknown,2020-06-26,14.99,67.9317,16,22,1,162,,13799,67.9317,-1,,0.641064,1499,1280,"$19,187.20",13431.04
612120,Darwin's bots: Episode 1,Not current E.A.; former unknown,2017-03-27,7.99,50,16,17,4,189,,-1,50,-1,,-1,799,1280,"$10,227.20",7159.04
612190,Fastigium: Dead End,Not current E.A.; former unknown,2017-03-31,4.99,57.1727,16,16,5,279,,-1,57.1727,-1,,0.405444,499,1280,"$6,387.20",4471.04
627220,Food Truck VR,Former E.A.,2018-07-12,11.99,64.3454,16,17,4,137,24021,-1,64.3454,-1,,0.573385,1199,1280,"$15,347.20",10743.04
644110,Lone Pirate VR,Not current E.A.; former unknown,2017-05-26,8.99,53.5863,16,20,2,125,16176,-1,53.5863,-1,,0.286692,899,1280,"$11,507.20",8055.04
645700,第502統合戦闘航空団 ブレイブウィッチーズ VR-Operation Baba_yaga-雪中迎撃戦,Not current E.A.; former unknown,2017-06-08,17.99,50,16,17,3,740,,-1,50,-1,,-1,1799,1280,"$23,027.20",16119.04
648070,CrisisActionVR,Former E.A.,2017-09-11,199.99,42.8273,16,24,8,453,27008,-1,42.8273,-1,,-1,19999,1280,"$255,987.20",179191.04
681790,ViKubb,Not current E.A.; former unknown,2020-02-27,3.99,71.5181,16,21,4,69,,-1,71.5181,-1,,0.70225,399,1280,"$5,107.20",3575.04
691590,KryptCrawler,Not current E.A.; former unknown,2018-06-05,7.99,42.8273,16,21,4,394,17090,13867,42.8273,-1,,-1,799,1280,"$10,227.20",7159.04
691890,Machine Crisis (陨星危机),Not current E.A.; former unknown,2017-12-07,4.99,67.9317,16,16,3,197,,-1,67.9317,-1,,0.641064,499,1280,"$6,387.20",4471.04
698520,A Writer And His Daughter,Not current E.A.; former unknown,2017-11-02,1.99,64.3454,16,18,4,167,24278,12890,64.3454,-1,,0.573385,199,1280,"$2,547.20",1783.04
702030,Starbear: Taxi,Not current E.A.; former unknown,2018-05-03,4.99,71.5181,16,28,3,252,20426,11899,71.5181,-1,,0.70225,499,1280,"$6,387.20",4471.04
705860,SpaceWalker,Current E.A.,2018-01-03,0,57.1727,16,16,13,293,16640,-1,57.1727,-1,,0.405444,0,1280,$0.00,0
711390,Anti Gravity Warriors VR,Not current E.A.; former unknown,2017-10-23,0,42.8273,16,16,9,221,15717,-1,42.8273,-1,,-1,0,1280,$0.00,0
715760,DOJAGI: The Korean Pottery,Not current E.A.; former unknown,2018-12-09,14.99,64.3454,16,18,7,243,,-1,64.3454,-1,,0.573385,1499,1280,"$19,187.20",13431.04
716750,Nemesis Realms,Former E.A.,2018-04-06,14.99,57.1727,16,20,6,198,23455,-1,57.1727,-1,,0.405444,1499,1280,"$19,187.20",13431.04
731790,Fly Destroyer,Not current E.A.; former unknown,2017-10-27,0,42.8273,16,16,2,42,9436,-1,42.8273,-1,,-1,0,1280,$0.00,0
765380,Internal Light VR,Not current E.A.; former unknown,2018-01-18,4.99,57.1727,16,31,2,104,11902,-1,57.1727,-1,,0.405444,499,1280,"$6,387.20",4471.04
767970,Inhumanus,Not current E.A.; former unknown,2018-04-27,4.99,64.3454,16,22,5,196,26736,-1,64.3454,-1,,0.573385,499,1280,"$6,387.20",4471.04
774401,Scrap Attack VR,Not current E.A.; former unknown,2018-01-18,0.99,64.3454,16,23,-1,85,15909,11915,64.3454,-1,,0.573385,99,1280,"$1,267.20",887.04
589240,Jaguar I-PACE Concept | Virtual Reality Experience,Not current E.A.; former unknown,2017-11-13,0,44.3403,15,15,-1,473,,-1,44.3403,-1,,-1,0,1200,$0.00,0
607330,Rangi,Not current E.A.; former unknown,2017-08-03,9.99,78.2983,15,19,3,154,27982,-1,78.2983,-1,,0.805323,999,1200,"$11,988.00",8391.6
609850,Slinger VR,Not current E.A.; former unknown,2020-04-23,14.99,66.979,15,16,1,222,,-1,66.979,-1,,0.623801,1499,1200,"$17,988.00",12591.6
610980,The Midnight Sanctuary,Not current E.A.; former unknown,2018-10-03,9.99,78.2983,15,16,3,215,25571,-1,78.2983,-1,43,0.805323,999,1200,"$11,988.00",8391.6
613130,Mega Overload VR,Not current E.A.; former unknown,2017-04-18,14.99,78.2983,15,35,95,148,13601,-1,78.2983,-1,,0.805323,1499,1200,"$17,988.00",12591.6
624430,AI Rebellion VR,Former E.A.,2017-05-02,9.99,48.1134,15,18,3,475,22165,-1,48.1134,-1,,-1,999,1200,"$11,988.00",8391.6
633970,Heroes Never Die,Current E.A.,2017-07-06,19.99,33.021,15,15,3,-1,,-1,33.021,-1,,-1,1999,1200,"$23,988.00",16791.6
651120,Diesel Express VR,Former E.A.,2019-01-23,9.99,59.4328,15,16,2,176,,-1,59.4328,-1,,0.464954,999,1200,"$11,988.00",8391.6
672790,Elemental Combat,Current E.A.,2017-11-16,7.99,59.4328,15,26,5,321,27029,8300,59.4328,-1,,0.464954,799,1200,"$9,588.00",6711.6
682960,Purgation,Not current E.A.; former unknown,2017-10-06,0,59.4328,15,15,7,280,16077,-1,59.4328,-1,,0.464954,0,1200,$0.00,0
684620,JetX VR,Not current E.A.; former unknown,2019-04-11,5.99,55.6597,15,48,13,649,,-1,55.6597,-1,,0.360151,599,1200,"$7,188.00",5031.6
686030,Digital Domain’s Monkey King™,Not current E.A.; former unknown,2018-02-06,4.99,66.979,15,16,3,160,26831,-1,66.979,-1,,0.623801,499,1200,"$5,988.00",4191.6
698910,Cliffstone Manor,Not current E.A.; former unknown,2017-10-16,7.99,66.979,15,26,3,87,15403,-1,66.979,-1,,0.623801,799,1200,"$9,588.00",6711.6
724910,Icarus Six Sixty Six,Not current E.A.; former unknown,2018-01-04,0,66.979,15,15,3,53,16856,-1,66.979,-1,,0.623801,0,1200,$0.00,0
733690,The Hospital: Allison's Diary,Not current E.A.; former unknown,2017-11-09,3.59,44.3403,15,17,2,111,27393,10394,44.3403,-1,,-1,359,1200,"$4,308.00",3015.6
751380,Sacred Four,Not current E.A.; former unknown,2018-02-15,3.29,59.4328,15,15,3,152,,-1,59.4328,-1,,0.464954,329,1200,"$3,948.00",2763.6
804530,Cubism,Not current E.A.; former unknown,2020-09-17,9.99,78.2983,15,21,4,177,,9222,78.2983,-1,,0.805323,999,1200,"$11,988.00",8391.6
818950,Space Slingshot VR,Not current E.A.; former unknown,2018-04-03,5.99,66.979,15,15,4,127,,-1,66.979,-1,,0.623801,599,1200,"$7,188.00",5031.6
836330,The God,Not current E.A.; former unknown,2018-05-18,12.99,44.3403,15,29,3,-1,11046,10980,44.3403,-1,,-1,1299,1200,"$15,588.00",10911.6
847900,DeathTolls Experience,Not current E.A.; former unknown,2018-04-24,0,66.979,15,15,3,89,17301,-1,66.979,-1,,0.623801,0,1200,$0.00,0
858380,Expedia Cenote VR,Not current E.A.; former unknown,2018-10-01,0,55.6597,15,15,10,129,,-1,55.6597,-1,,0.360151,0,1200,$0.00,0
869550,Double Shot,Current E.A.,2018-10-19,19.99,66.979,15,15,3,227,,-1,66.979,-1,,0.623801,1999,1200,"$23,988.00",16791.6
893470,Salary Man Escape,Not current E.A.; former unknown,2018-09-18,10.99,78.2983,15,37,3,202,,-1,78.2983,-1,,0.805323,1099,1200,"$13,188.00",9231.6
899100,SUM,Current E.A.,2018-07-28,13.99,66.979,15,23,4,528,,-1,66.979,-1,,0.623801,1399,1200,"$16,788.00",11751.6
914680,Crazy Alchemist,Current E.A.,2018-09-05,9.99,48.1134,15,29,5,1598,,-1,48.1134,-1,,-1,999,1200,"$11,988.00",8391.6
931540,RevelationTrestan-尸忆岛,Not current E.A.; former unknown,2018-10-10,24.99,59.4328,15,17,4,277,,-1,59.4328,-1,,0.464954,2499,1200,"$29,988.00",20991.6
934990,Cute Girls VR,Not current E.A.; former unknown,2018-09-22,8.99,48.1134,15,16,6,1140,,13998,48.1134,-1,,-1,899,1200,"$10,788.00",7551.6
949390,Puppet Blaster,Not current E.A.; former unknown,2018-10-16,0,78.2983,15,15,4,47,,-1,78.2983,-1,,0.805323,0,1200,$0.00,0
968310,Breathe Peace World,Not current E.A.; former unknown,2019-01-29,0,70.7521,15,15,6,123,,-1,70.7521,-1,,0.689638,0,1200,$0.00,0
975430,Dick Wilde 2,Not current E.A.; former unknown,2019-02-19,19.99,66.979,15,20,54,159,28148,-1,66.979,-1,,0.623801,1999,1200,"$23,988.00",16791.6
1014970,Saloon VR,Not current E.A.; former unknown,2019-05-30,0,70.7521,15,15,18,78,,-1,70.7521,-1,,0.689638,0,1200,$0.00,0
1121820,Go For A Walk,Not current E.A.; former unknown,2020-01-12,0,59.4328,15,15,1,39,,-1,59.4328,-1,,0.464954,0,1200,$0.00,0
1154990,War Saber,Current E.A.,2020-05-05,19.99,44.3403,15,20,1,244,,-1,44.3403,-1,,-1,1999,1200,"$23,988.00",16791.6
1171130,Scraper: Gauntlet,Not current E.A.; former unknown,2020-02-20,14.99,78.2983,15,25,5,207,,-1,78.2983,-1,,0.805323,1499,1200,"$17,988.00",12591.6
1198700,Chained: A Victorian Nightmare,Not current E.A.; former unknown,2019-12-19,4.99,66.979,15,16,1,148,,-1,66.979,-1,,0.623801,499,1200,"$5,988.00",4191.6
1216350,Time Hacker,Current E.A.,2020-10-16,14.99,70.7521,15,25,8,426,,11262,70.7521,-1,,0.689638,1499,1200,"$17,988.00",12591.6
1231140,Tanky Tanks VR,Not current E.A.; former unknown,2020-03-13,0,78.2983,15,0,-1,71,,10136,78.2983,-1,,0.782983,,1200,$0.00,0
1288790,BeachHead 2020,Current E.A.,2020-12-15,19.99,66.979,15,22,7,255,,4649,66.979,-1,,0.623801,1999,1200,"$23,988.00",16791.6
1297010,Rinlo,Former E.A.,2020-10-07,14.99,66.979,15,20,5,350,,8594,66.979,-1,,0.623801,1499,1200,"$17,988.00",12591.6
1366570,RESONARK X,Not current E.A.; former unknown,2020-07-31,12.99,70.7521,15,16,4,77,,13230,70.7521,-1,,0.689638,1299,1200,"$15,588.00",10911.6
1372700,Off The Chains Disc Golf,Not current E.A.; former unknown,2020-11-12,19.99,55.6597,15,19,6,109,,6539,55.6597,-1,,0.360151,1999,1200,"$23,988.00",16791.6
1380620,Sex Prison VR,Not current E.A.; former unknown,2020-08-21,13.99,33.021,15,17,4,561,,13892,33.021,-1,,-1,1399,1200,"$16,788.00",11751.6
1394160,Directive Nine,Current E.A.,2020-09-10,9.99,66.979,15,17,3,143,,-1,66.979,-1,,0.623801,999,1200,"$11,988.00",8391.6
340840,The Corridor: On Behalf Of The Dead,Not current E.A.; former unknown,2018-08-30,14.99,55.6597,15,23,5,261,29112,-1,55.6597,-1,-1,0.360151,1499,1200,"$17,988.00",12591.6
406710,Eclipse: Edge of Light,Not current E.A.; former unknown,2020-01-14,14.99,55.6597,15,24,2,200,,-1,55.6597,-1,,0.360151,1499,1200,"$17,988.00",12591.6
457660,Andromedum,Not current E.A.; former unknown,2016-04-18,1.99,55.6597,15,15,2,128,25960,-1,55.6597,-1,,0.360151,199,1200,"$2,388.00",1671.6
459150,Super Cat Herding: Totally Awesome Edition,Former E.A.,2018-03-09,9.99,66.979,15,26,22,277,12908,-1,66.979,-1,,0.623801,999,1200,"$11,988.00",8391.6
485110,PlanetFate,Current E.A.,2016-06-06,3.99,66.979,15,15,3,242,,-1,66.979,-1,,0.623801,399,1200,"$4,788.00",3351.6
503150,Frantic Freighter,Not current E.A.; former unknown,2016-08-29,2.99,66.979,15,25,12,367,13431,-1,66.979,-1,,0.623801,299,1200,"$3,588.00",2511.6
505680,Glaive,Not current E.A.; former unknown,2016-07-26,0.99,55.6597,15,16,2,138,,-1,55.6597,-1,,0.360151,99,1200,"$1,188.00",831.6
511560,World of Golf,Former E.A.,2016-12-06,4.99,48.1134,15,17,5,107,,-1,48.1134,-1,,-1,499,1200,"$5,988.00",4191.6
523180,Doritos VR Battle,Not current E.A.; former unknown,2016-11-04,2.99,59.4328,15,16,3,106,18522,-1,59.4328,-1,,0.464954,299,1200,"$3,588.00",2511.6
537060,MagixHome™ VR,Current E.A.,2016-11-03,0,48.1134,15,15,6,179,12953,-1,48.1134,-1,,-1,0,1200,$0.00,0
540500,Starfighter Arduxim,Not current E.A.; former unknown,2016-10-19,3.99,66.979,15,15,2,258,,-1,66.979,-1,,0.623801,399,1200,"$4,788.00",3351.6
543410,Crowe: The Drowned Armory,Not current E.A.; former unknown,2017-05-30,4.99,66.979,15,17,2,201,,-1,66.979,-1,,0.623801,499,1200,"$5,988.00",4191.6
543710,Cogito,Not current E.A.; former unknown,2016-10-14,5.99,55.6597,15,16,4,-1,24964,-1,55.6597,-1,,0.360151,599,1200,"$7,188.00",5031.6
